PatentID	Example	Production
CH321571	Example01P	Zeiss Distagon 60mm F5.6
CH346706	Example01P	Schneider Xenon 1.9 / 50
CH352844	Example01P	Schneider Xenon 2 / 50
CN104101985	Example01P	Zhong Yi Creator 35mm F2
CN106249387	Example02P	Yongnuo YN50mm f/1.4
CN107255857	Example01P	Zhong Yi SpeedMaster 135mm F1.4
CN107272156	Example01P	Zhong Yi SpeedMaster 35mm F0.95 II
CN107272157	Example01P	Zhong Yi SpeedMaster 25mm F0.95
CN108535851	Example01P	Venus Laowa 10-18mm f4.5-5.6 Zoom
CN110161666	Example02P	Venus Laowa 65mm f2.8 2x Ultra Macro APO
CN110261999	Example01P	Yongnuo YN50mm F1.8S DA DSM
CN110501809	Example01P	Zhong Yi 85mm f2.8 1-5X Super Macro
CN110596863	Example01P	Zhong Yi SpeedMaster 65mm F1.4
CN111965793	Example01P	Zhong Yi SpeedMaster 50mm F0.95 M
CN114755806	Example01P	Viltrox AF 75mm F1.2 STM ED IF
CN204883027	Example01P	Yongnuo YN50mm f1.8
CN205427291	Example02P	Venus Laowa 15mm f4 Wide Angle Macro
CN205720849	Example02P	Venus Laowa 12mm f2.8 Zero-D
CN206074892	Example01P	Yongnuo YN100mm F2N
CN207216120	Example01P	Yongnuo YN40mm F2.8N
CN209606699	Example01P	Viltrox MF 20mm F1.8 FE
CN210573001	Example01P	Venus Laowa 24mm f14 2X Macro Probe
CN211826699	Example01P	Viltrox AF 33mm F1.4 E
CN211826700	Example01P	Viltrox AF 23mm F1.4 E
CN211955963	Example01P	Viltrox AF 35mm F1.8 FE
CN211955965	Example01P	Viltrox AF 56mm F1.4 E
CN211955966	Example01P	Viltrox AF 50mm F1.8 FE
CN214795390	Example01P	Yongnuo YN16mm F1.8S
CN216772097	Example01P	Panasonic Lumix S 35mm F1.8
DE00434759	Example01P	Steinheil 50mm F3.5 Triple-Anastigmat Cassar Series 0
DE00444150	Example01P	Cosina Voigtlander Tele-Dynar 100mm f6.3
DE00444150	Example02P	Cosina Voigtlander Cine-Tele-Anastigmat 100mm F4.5
DE00471565	Example01P	Schneider Tele-Xenar 180mm f4.5
DE00753329	Example01P	Schneider Xenar 2.8 / 50
DE00927540	Example01P	Schneider Cinegon 1.9 / 6.5
DE00975637	Example01P	Schneider Super-Angulon 8 / 90
